20,python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img23.txt 0.01 LP LP LP box box LP LP LP LP LP LP LP,affine,LP,0.014774,relu,LP,13.742798,affine,LP,5.124344,relu,box,1.031332,affine,box,11.882902,relu,LP,0.327898,affine,LP,0.096698,relu,LP,2.894528,affine,LP,6.619236,relu,LP,3.565786,affine,LP,153.225972,relu,LP,0.186605,,227.6092369556427
21,python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img23.txt 0.01 LP LP box box LP LP LP LP LP LP LP LP,affine,LP,0.015618,relu,LP,13.949679,affine,box,5.06702,relu,box,error,affine,LP,error,relu,LP,error,affine,LP,error,relu,LP,error,affine,LP,error,relu,LP,error,affine,LP,error,relu,LP,error,
22,python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img23.txt 0.01 LP box box LP LP LP LP LP LP LP LP LP,affine,LP,0.013244,relu,box,13.729071,affine,box,4.975763,relu,LP,0.315794,affine,LP,0.128672,relu,LP,2.311976,affine,LP,5.045883,relu,LP,3.678961,affine,LP,125.744515,relu,LP,3.570096,affine,LP,697.5798,relu,LP,0.184528,,949.7836425304413
23,python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img23.txt 0.01 box box LP LP LP LP LP LP LP LP LP LP,affine,box,0.007956,relu,box,1.254806,affine,LP,8.4e-05,relu,LP,3.752126,affine,LP,0.991859,relu,LP,2.36618,affine,LP,12.631644,relu,LP,3.464797,affine,LP,145.710945,relu,LP,3.656954,affine,LP,811.096281,relu,LP,0.181367,,1102.4486091136932
24,python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img23.txt 0.01 LP LP LP LP LP LP LP LP LP box box box,affine,LP,0.014553,relu,LP,14.010882,affine,LP,5.079492,relu,LP,1.041213,affine,LP,11.823523,relu,LP,1.454274,affine,LP,29.203399,relu,LP,1.55009,affine,LP,51.765997,relu,box,1.405826,affine,box,95.629372,relu,box,0.016629,,212.99754071235657
25,python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img23.txt 0.01 LP LP LP LP LP LP LP LP box box box LP,affine,LP,0.014027,relu,LP,13.997481,affine,LP,5.045025,relu,LP,1.074972,affine,LP,11.701233,relu,LP,1.470124,affine,LP,29.056769,relu,LP,1.53748,affine,box,51.585404,relu,box,error,affine,box,error,relu,LP,error,
26,python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img23.txt 0.01 LP LP LP LP LP LP LP box box box LP LP,affine,LP,0.01305,relu,LP,14.123317,affine,LP,4.987349,relu,LP,1.050414,affine,LP,11.971199,relu,LP,1.455142,affine,LP,29.154094,relu,box,1.548569,affine,box,51.367849,relu,box,0.334019,affine,LP,8.3e-05,relu,LP,0.184822,,116.21107721328735
27,python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img23.txt 0.01 LP LP LP LP LP LP box box box LP LP LP,affine,LP,0.01484,relu,LP,14.151603,affine,LP,5.03124,relu,LP,1.095849,affine,LP,11.706107,relu,LP,1.443639,affine,box,29.09682,relu,box,error,affine,box,error,relu,LP,error,affine,LP,error,relu,LP,error,
28,python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img23.txt 0.01 LP LP LP LP LP box box box LP LP LP LP,affine,LP,0.013629,relu,LP,13.88013,affine,LP,4.977899,relu,LP,1.050945,affine,LP,11.902351,relu,box,1.380187,affine,box,28.997221,relu,box,0.313982,affine,LP,0.000113,relu,LP,3.543217,affine,LP,1.145316,relu,LP,0.177693,,68.14191913604736
29,python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img23.txt 0.01 LP LP LP LP box box box LP LP LP LP LP,affine,LP,0.014267,relu,LP,14.241873,affine,LP,5.053296,relu,LP,1.047782,affine,box,11.815302,relu,box,error,affine,box,error,relu,LP,error,affine,LP,error,relu,LP,error,affine,LP,error,relu,LP,error,
3,python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img23.txt 0.01 LP LP LP LP LP LP LP LP LP box LP LP,affine,LP,0.016684,relu,LP,13.986577,affine,LP,5.027784,relu,LP,1.073013,affine,LP,11.8219,relu,LP,1.397555,affine,LP,28.894761,relu,LP,1.503458,affine,LP,51.333534,relu,box,1.350803,affine,LP,95.062065,relu,LP,0.178102,,211.66677451133728
30,python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img23.txt 0.01 LP LP LP box box box LP LP LP LP LP LP,affine,LP,0.015109,relu,LP,14.505909,affine,LP,5.151455,relu,box,1.095031,affine,box,11.920783,relu,box,0.34573,affine,LP,6.8e-05,relu,LP,3.724524,affine,LP,1.221455,relu,LP,3.752547,affine,LP,54.574652,relu,LP,0.171808,,110.80697345733643
31,python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img23.txt 0.01 LP LP box box box LP LP LP LP LP LP LP,affine,LP,0.012383,relu,LP,14.233151,affine,box,5.205772,relu,box,error,affine,box,error,relu,LP,error,affine,LP,error,relu,LP,error,affine,LP,error,relu,LP,error,affine,LP,error,relu,LP,error,
