timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img62.txt 0.01;fast;slow;slow;fast;fast;fast;10098.382765293121;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img59.txt 0.01;fast;slow;slow;slow;fast;fast;364.2049608230591;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img87.txt 0.01;fast;slow;slow;slow;slow;fast;360.98422503471375;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img83.txt 0.01;fast;slow;slow;slow;slow;fast;364.918518781662;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img32.txt 0.01;fast;slow;slow;slow;slow;fast;361.6554226875305;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img67.txt 0.01;fast;slow;slow;slow;slow;fast;363.60159969329834;verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img44.txt 0.01;fast;slow;slow;slow;fast;fast;362.0737705230713;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img79.txt 0.01;fast;slow;slow;slow;slow;fast;362.86840176582336;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img58.txt 0.01;fast;slow;slow;slow;slow;fast;360.3433849811554;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img31.txt 0.01;fast;slow;slow;slow;fast;fast;365.70306301116943;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img75.txt 0.01;fast;slow;slow;slow;slow;fast;361.58011531829834;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img25.txt 0.01;fast;slow;slow;slow;slow;slow;130.3358600139618;verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img78.txt 0.01;fast;slow;slow;slow;fast;fast;362.4886257648468;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img19.txt 0.01;fast;slow;slow;slow;slow;fast;361.8444471359253;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img61.txt 0.01;fast;slow;slow;slow;slow;fast;361.4671812057495;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img66.txt 0.01;fast;slow;slow;slow;fast;fast;362.3896310329437;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img38.txt 0.01;;;;;;;2.47955322265625e-05;failed timeout
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img45.txt 0.01;fast;slow;slow;slow;fast;fast;362.52384781837463;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img35.txt 0.01;fast;slow;slow;slow;slow;fast;361.2473225593567;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img37.txt 0.01;fast;slow;slow;slow;fast;fast;363.3212354183197;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img81.txt 0.01;fast;slow;slow;slow;slow;fast;361.7204592227936;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img21.txt 0.01;fast;slow;slow;slow;slow;fast;362.9773886203766;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img70.txt 0.01;fast;slow;slow;slow;slow;fast;362.3530125617981;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img2.txt 0.01;fast;slow;slow;slow;fast;fast;366.36529898643494;failed cannot
