timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img62.txt 0.01;fast;slow;slow;fast;fast;fast;427.8250148296356;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img59.txt 0.01;fast;slow;slow;slow;fast;fast;419.4646956920624;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img87.txt 0.01;fast;slow;slow;slow;fast;fast;415.291597366333;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img83.txt 0.01;fast;slow;slow;slow;fast;fast;416.3523464202881;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img32.txt 0.01;fast;slow;slow;slow;fast;fast;414.1791036128998;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img67.txt 0.01;fast;slow;slow;slow;fast;fast;413.40092039108276;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img44.txt 0.01;fast;slow;slow;slow;fast;fast;417.610018491745;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img79.txt 0.01;fast;slow;slow;slow;fast;fast;416.2328541278839;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img58.txt 0.01;fast;slow;slow;slow;fast;fast;415.6065082550049;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img31.txt 0.01;fast;slow;slow;fast;fast;fast;427.48483896255493;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img75.txt 0.01;fast;slow;slow;slow;fast;fast;415.9995484352112;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img25.txt 0.01;fast;slow;slow;slow;slow;slow;287.00196409225464;verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img78.txt 0.01;fast;slow;slow;slow;fast;fast;417.40646982192993;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img19.txt 0.01;fast;slow;slow;slow;fast;fast;414.6238625049591;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img61.txt 0.01;fast;slow;slow;slow;fast;fast;416.57787346839905;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img66.txt 0.01;fast;slow;slow;slow;fast;fast;415.77243399620056;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img38.txt 0.01;;;;;;;5.14984130859375e-05;failed timeout
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img45.txt 0.01;fast;slow;slow;slow;fast;fast;417.5680260658264;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img35.txt 0.01;fast;slow;slow;slow;slow;fast;411.8116931915283;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img37.txt 0.01;fast;slow;slow;slow;fast;fast;418.4530837535858;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img81.txt 0.01;fast;slow;slow;slow;fast;fast;414.77122473716736;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img21.txt 0.01;fast;slow;slow;slow;fast;fast;414.15265417099;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img70.txt 0.01;fast;slow;slow;slow;fast;fast;412.208868265152;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img2.txt 0.01;fast;slow;slow;fast;fast;fast;414.09154415130615;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img17.txt 0.01;fast;slow;slow;slow;slow;fast;418.26266288757324;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img41.txt 0.01;fast;slow;slow;slow;fast;fast;417.0571413040161;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img88.txt 0.01;fast;slow;slow;slow;slow;fast;411.172682762146;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img3.txt 0.01;fast;slow;slow;slow;slow;slow;320.8340780735016;verified
